50 1225
1 2 1
1 3 39
1 4 15
1 5 42
1 6 31
1 7 20
1 8 17
1 9 33
1 10 18
1 11 40
1 12 10
1 13 6
1 14 48
1 15 5
1 16 26
1 17 39
1 18 6
1 19 21
1 20 4
1 21 40
1 22 0
1 23 30
1 24 40
1 25 32
1 26 42
1 27 26
1 28 14
1 29 46
1 30 0
1 31 16
1 32 2
1 33 40
1 34 42
1 35 10
1 36 44
1 37 32
1 38 2
1 39 5
1 40 25
1 41 33
1 42 11
1 43 2
1 44 31
1 45 12
1 46 19
1 47 43
1 48 23
1 49 6
1 50 11
2 3 0
2 4 17
2 5 10
2 6 6
2 7 28
2 8 27
2 9 15
2 10 49
2 11 46
2 12 22
2 13 13
2 14 12
2 15 22
2 16 44
2 17 27
2 18 15
2 19 39
2 20 19
2 21 13
2 22 27
2 23 20
2 24 14
2 25 15
2 26 11
2 27 4
2 28 41
2 29 32
2 30 26
2 31 28
2 32 1
2 33 11
2 34 37
2 35 13
2 36 23
2 37 47
2 38 24
2 39 3
2 40 10
2 41 25
2 42 11
2 43 13
2 44 13
2 45 3
2 46 44
2 47 49
2 48 47
2 49 29
2 50 26
3 4 30
3 5 47
3 6 32
3 7 33
3 8 2
3 9 0
3 10 15
3 11 13
3 12 31
3 13 22
3 14 13
3 15 36
3 16 15
3 17 41
3 18 33
3 19 4
3 20 21
3 21 43
3 22 39
3 23 24
3 24 28
3 25 6
3 26 45
3 27 11
3 28 5
3 29 29
3 30 40
3 31 31
3 32 45
3 33 5
3 34 27
3 35 45
3 36 25
3 37 7
3 38 2
3 39 15
3 40 26
3 41 3
3 42 45
3 43 18
3 44 49
3 45 39
3 46 19
3 47 26
3 48 3
3 49 25
3 50 4
4 5 26
4 6 16
4 7 40
4 8 19
4 9 11
4 10 44
4 11 27
4 12 19
4 13 4
4 14 30
4 15 21
4 16 47
4 17 11
4 18 8
4 19 20
4 20 49
4 21 26
4 22 13
4 23 15
4 24 24
4 25 8
4 26 6
4 27 35
4 28 11
4 29 15
4 30 39
4 31 21
4 32 39
4 33 34
4 34 18
4 35 37
4 36 37
4 37 13
4 38 25
4 39 9
4 40 25
4 41 46
4 42 44
4 43 38
4 44 45
4 45 18
4 46 11
4 47 47
4 48 40
4 49 18
4 50 36
5 6 5
5 7 11
5 8 25
5 9 15
5 10 41
5 11 30
5 12 35
5 13 10
5 14 23
5 15 31
5 16 41
5 17 24
5 18 20
5 19 21
5 20 2
5 21 16
5 22 13
5 23 27
5 24 26
5 25 41
5 26 2
5 27 9
5 28 18
5 29 39
5 30 49
5 31 4
5 32 18
5 33 43
5 34 20
5 35 18
5 36 13
5 37 23
5 38 21
5 39 4
5 40 35
5 41 19
5 42 0
5 43 32
5 44 41
5 45 13
5 46 12
5 47 29
5 48 0
5 49 28
5 50 3
6 7 44
6 8 33
6 9 47
6 10 9
6 11 13
6 12 37
6 13 20
6 14 26
6 15 9
6 16 46
6 17 25
6 18 33
6 19 22
6 20 49
6 21 31
6 22 47
6 23 11
6 24 7
6 25 17
6 26 49
6 27 2
6 28 47
6 29 7
6 30 24
6 31 26
6 32 48
6 33 38
6 34 39
6 35 49
6 36 4
6 37 17
6 38 29
6 39 38
6 40 22
6 41 48
6 42 38
6 43 22
6 44 30
6 45 41
6 46 18
6 47 13
6 48 36
6 49 27
6 50 5
7 8 22
7 9 33
7 10 29
7 11 17
7 12 41
7 13 3
7 14 20
7 15 45
7 16 5
7 17 26
7 18 38
7 19 40
7 20 6
7 21 36
7 22 39
7 23 44
7 24 30
7 25 21
7 26 48
7 27 42
7 28 10
7 29 30
7 30 19
7 31 27
7 32 16
7 33 28
7 34 47
7 35 22
7 36 8
7 37 41
7 38 20
7 39 33
7 40 6
7 41 27
7 42 33
7 43 2
7 44 1
7 45 46
7 46 17
7 47 26
7 48 42
7 49 48
7 50 29
8 9 17
8 10 22
8 11 10
8 12 47
8 13 26
8 14 10
8 15 17
8 16 15
8 17 30
8 18 47
8 19 42
8 20 49
8 21 2
8 22 8
8 23 28
8 24 41
8 25 4
8 26 29
8 27 48
8 28 41
8 29 18
8 30 45
8 31 18
8 32 15
8 33 28
8 34 8
8 35 12
8 36 18
8 37 17
8 38 32
8 39 42
8 40 16
8 41 47
8 42 2
8 43 47
8 44 46
8 45 40
8 46 35
8 47 19
8 48 30
8 49 5
8 50 29
9 10 23
9 11 36
9 12 26
9 13 32
9 14 6
9 15 36
9 16 4
9 17 39
9 18 8
9 19 5
9 20 9
9 21 37
9 22 30
9 23 26
9 24 7
9 25 49
9 26 43
9 27 46
9 28 45
9 29 5
9 30 3
9 31 18
9 32 10
9 33 47
9 34 4
9 35 33
9 36 13
9 37 15
9 38 33
9 39 32
9 40 32
9 41 37
9 42 21
9 43 25
9 44 35
9 45 45
9 46 12
9 47 6
9 48 12
9 49 40
9 50 45
10 11 13
10 12 30
10 13 16
10 14 3
10 15 0
10 16 38
10 17 21
10 18 38
10 19 5
10 20 14
10 21 11
10 22 11
10 23 45
10 24 21
10 25 33
10 26 6
10 27 13
10 28 16
10 29 40
10 30 40
10 31 28
10 32 18
10 33 36
10 34 34
10 35 38
10 36 1
10 37 42
10 38 9
10 39 38
10 40 5
10 41 2
10 42 30
10 43 15
10 44 30
10 45 4
10 46 4
10 47 20
10 48 19
10 49 34
10 50 26
11 12 33
11 13 20
11 14 23
11 15 9
11 16 8
11 17 32
11 18 37
11 19 15
11 20 1
11 21 30
11 22 38
11 23 49
11 24 17
11 25 1
11 26 46
11 27 0
11 28 13
11 29 25
11 30 5
11 31 1
11 32 49
11 33 28
11 34 48
11 35 34
11 36 9
11 37 34
11 38 45
11 39 26
11 40 22
11 41 14
11 42 47
11 43 47
11 44 7
11 45 25
11 46 10
11 47 40
11 48 16
11 49 38
11 50 36
12 13 38
12 14 29
12 15 1
12 16 29
12 17 30
12 18 16
12 19 31
12 20 34
12 21 41
12 22 33
12 23 19
12 24 31
12 25 11
12 26 4
12 27 42
12 28 19
12 29 16
12 30 35
12 31 43
12 32 13
12 33 34
12 34 47
12 35 20
12 36 7
12 37 31
12 38 4
12 39 49
12 40 2
12 41 23
12 42 43
12 43 37
12 44 13
12 45 22
12 46 11
12 47 46
12 48 49
12 49 18
12 50 20
13 14 44
13 15 11
13 16 28
13 17 17
13 18 44
13 19 47
13 20 6
13 21 7
13 22 30
13 23 28
13 24 48
13 25 18
13 26 32
13 27 33
13 28 40
13 29 18
13 30 28
13 31 27
13 32 39
13 33 31
13 34 20
13 35 23
13 36 31
13 37 39
13 38 5
13 39 29
13 40 2
13 41 47
13 42 14
13 43 1
13 44 5
13 45 3
13 46 31
13 47 32
13 48 45
13 49 38
13 50 2
14 15 0
14 16 15
14 17 9
14 18 22
14 19 5
14 20 40
14 21 28
14 22 1
14 23 3
14 24 26
14 25 23
14 26 26
14 27 44
14 28 37
14 29 30
14 30 48
14 31 2
14 32 49
14 33 7
14 34 7
14 35 6
14 36 30
14 37 32
14 38 9
14 39 11
14 40 7
14 41 11
14 42 37
14 43 21
14 44 47
14 45 28
14 46 26
14 47 28
14 48 37
14 49 4
14 50 38
15 16 27
15 17 23
15 18 6
15 19 43
15 20 3
15 21 49
15 22 28
15 23 10
15 24 40
15 25 13
15 26 23
15 27 33
15 28 31
15 29 4
15 30 11
15 31 45
15 32 44
15 33 41
15 34 11
15 35 21
15 36 5
15 37 24
15 38 32
15 39 3
15 40 45
15 41 28
15 42 9
15 43 27
15 44 37
15 45 37
15 46 40
15 47 39
15 48 25
15 49 5
15 50 6
16 17 42
16 18 6
16 19 24
16 20 1
16 21 42
16 22 2
16 23 29
16 24 16
16 25 47
16 26 31
16 27 31
16 28 13
16 29 25
16 30 1
16 31 3
16 32 15
16 33 43
16 34 11
16 35 46
16 36 0
16 37 19
16 38 33
16 39 1
16 40 24
16 41 11
16 42 49
16 43 32
16 44 22
16 45 22
16 46 9
16 47 12
16 48 22
16 49 6
16 50 27
17 18 35
17 19 19
17 20 47
17 21 20
17 22 21
17 23 27
17 24 18
17 25 21
17 26 48
17 27 29
17 28 22
17 29 20
17 30 4
17 31 26
17 32 34
17 33 18
17 34 49
17 35 10
17 36 34
17 37 7
17 38 43
17 39 12
17 40 9
17 41 37
17 42 42
17 43 25
17 44 42
17 45 17
17 46 37
17 47 1
17 48 18
17 49 31
17 50 27
18 19 21
18 20 48
18 21 33
18 22 21
18 23 12
18 24 10
18 25 31
18 26 8
18 27 31
18 28 26
18 29 42
18 30 4
18 31 17
18 32 45
18 33 37
18 34 13
18 35 24
18 36 6
18 37 3
18 38 2
18 39 17
18 40 13
18 41 36
18 42 43
18 43 43
18 44 28
18 45 47
18 46 45
18 47 38
18 48 41
18 49 38
18 50 15
19 20 15
19 21 4
19 22 39
19 23 3
19 24 4
19 25 37
19 26 33
19 27 25
19 28 13
19 29 24
19 30 34
19 31 13
19 32 18
19 33 20
19 34 2
19 35 5
19 36 0
19 37 24
19 38 47
19 39 19
19 40 23
19 41 29
19 42 19
19 43 16
19 44 9
19 45 36
19 46 26
19 47 34
19 48 38
19 49 44
19 50 42
20 21 22
20 22 13
20 23 18
20 24 0
20 25 27
20 26 12
20 27 2
20 28 37
20 29 27
20 30 46
20 31 29
20 32 12
20 33 19
20 34 10
20 35 10
20 36 40
20 37 35
20 38 9
20 39 48
20 40 45
20 41 32
20 42 43
20 43 32
20 44 27
20 45 41
20 46 11
20 47 29
20 48 6
20 49 42
20 50 37
21 22 31
21 23 21
21 24 3
21 25 12
21 26 12
21 27 45
21 28 9
21 29 21
21 30 39
21 31 17
21 32 19
21 33 15
21 34 28
21 35 38
21 36 6
21 37 46
21 38 27
21 39 4
21 40 36
21 41 11
21 42 32
21 43 45
21 44 37
21 45 21
21 46 35
21 47 49
21 48 40
21 49 44
21 50 0
22 23 11
22 24 30
22 25 3
22 26 9
22 27 13
22 28 6
22 29 48
22 30 35
22 31 31
22 32 48
22 33 32
22 34 41
22 35 19
22 36 36
22 37 42
22 38 47
22 39 34
22 40 7
22 41 4
22 42 19
22 43 19
22 44 24
22 45 0
22 46 8
22 47 27
22 48 19
22 49 42
22 50 27
23 24 31
23 25 17
23 26 49
23 27 44
23 28 30
23 29 12
23 30 18
23 31 10
23 32 42
23 33 47
23 34 8
23 35 13
23 36 34
23 37 46
23 38 28
23 39 22
23 40 4
23 41 5
23 42 24
23 43 25
23 44 23
23 45 33
23 46 10
23 47 18
23 48 20
23 49 12
23 50 41
24 25 35
24 26 37
24 27 35
24 28 30
24 29 28
24 30 32
24 31 38
24 32 2
24 33 30
24 34 1
24 35 45
24 36 9
24 37 47
24 38 10
24 39 18
24 40 49
24 41 41
24 42 17
24 43 27
24 44 43
24 45 18
24 46 44
24 47 11
24 48 37
24 49 18
24 50 18
25 26 49
25 27 38
25 28 13
25 29 39
25 30 9
25 31 11
25 32 24
25 33 2
25 34 45
25 35 36
25 36 4
25 37 17
25 38 18
25 39 43
25 40 43
25 41 38
25 42 48
25 43 28
25 44 33
25 45 42
25 46 40
25 47 15
25 48 12
25 49 42
25 50 0
26 27 42
26 28 16
26 29 41
26 30 11
26 31 11
26 32 31
26 33 4
26 34 8
26 35 38
26 36 20
26 37 8
26 38 21
26 39 6
26 40 0
26 41 38
26 42 17
26 43 32
26 44 28
26 45 12
26 46 31
26 47 46
26 48 49
26 49 38
26 50 13
27 28 40
27 29 6
27 30 3
27 31 5
27 32 34
27 33 1
27 34 48
27 35 42
27 36 6
27 37 46
27 38 10
27 39 1
27 40 9
27 41 11
27 42 4
27 43 47
27 44 6
27 45 18
27 46 44
27 47 40
27 48 18
27 49 39
27 50 17
28 29 44
28 30 22
28 31 11
28 32 1
28 33 15
28 34 32
28 35 31
28 36 6
28 37 37
28 38 17
28 39 44
28 40 4
28 41 18
28 42 31
28 43 33
28 44 28
28 45 11
28 46 2
28 47 14
28 48 9
28 49 16
28 50 15
29 30 8
29 31 42
29 32 15
29 33 26
29 34 46
29 35 49
29 36 30
29 37 31
29 38 35
29 39 41
29 40 10
29 41 34
29 42 8
29 43 39
29 44 21
29 45 44
29 46 44
29 47 0
29 48 19
29 49 27
29 50 22
30 31 18
30 32 40
30 33 43
30 34 25
30 35 40
30 36 49
30 37 11
30 38 15
30 39 19
30 40 47
30 41 21
30 42 12
30 43 2
30 44 45
30 45 19
30 46 39
