dataset,n,m,archivo
aleatorias,10,45,"instancias/aleatorias/RAND-(10, 0).txt"
aleatorias,10,45,"instancias/aleatorias/RAND-(10, 1).txt"
aleatorias,10,45,"instancias/aleatorias/RAND-(10, 2).txt"
aleatorias,10,45,"instancias/aleatorias/RAND-(10, 3).txt"
aleatorias,10,45,"instancias/aleatorias/RAND-(10, 4).txt"
aleatorias,10,45,"instancias/aleatorias/RAND-(10, 5).txt"
aleatorias,10,45,"instancias/aleatorias/RAND-(10, 6).txt"
aleatorias,10,45,"instancias/aleatorias/RAND-(10, 7).txt"
aleatorias,10,45,"instancias/aleatorias/RAND-(10, 8).txt"
aleatorias,10,45,"instancias/aleatorias/RAND-(10, 9).txt"
aleatorias,20,190,"instancias/aleatorias/RAND-(20, 0).txt"
aleatorias,20,190,"instancias/aleatorias/RAND-(20, 1).txt"
aleatorias,20,190,"instancias/aleatorias/RAND-(20, 2).txt"
aleatorias,20,190,"instancias/aleatorias/RAND-(20, 3).txt"
aleatorias,20,190,"instancias/aleatorias/RAND-(20, 4).txt"
aleatorias,20,190,"instancias/aleatorias/RAND-(20, 5).txt"
aleatorias,20,190,"instancias/aleatorias/RAND-(20, 6).txt"
aleatorias,20,190,"instancias/aleatorias/RAND-(20, 7).txt"
aleatorias,20,190,"instancias/aleatorias/RAND-(20, 8).txt"
aleatorias,20,190,"instancias/aleatorias/RAND-(20, 9).txt"
aleatorias,30,435,"instancias/aleatorias/RAND-(30, 0).txt"
aleatorias,30,435,"instancias/aleatorias/RAND-(30, 1).txt"
aleatorias,30,435,"instancias/aleatorias/RAND-(30, 2).txt"
aleatorias,30,435,"instancias/aleatorias/RAND-(30, 3).txt"
aleatorias,30,435,"instancias/aleatorias/RAND-(30, 4).txt"
aleatorias,30,435,"instancias/aleatorias/RAND-(30, 5).txt"
aleatorias,30,435,"instancias/aleatorias/RAND-(30, 6).txt"
aleatorias,30,435,"instancias/aleatorias/RAND-(30, 7).txt"
aleatorias,30,435,"instancias/aleatorias/RAND-(30, 8).txt"
aleatorias,30,435,"instancias/aleatorias/RAND-(30, 9).txt"
aleatorias,40,780,"instancias/aleatorias/RAND-(40, 0).txt"
aleatorias,40,780,"instancias/aleatorias/RAND-(40, 1).txt"
aleatorias,40,780,"instancias/aleatorias/RAND-(40, 2).txt"
aleatorias,40,780,"instancias/aleatorias/RAND-(40, 3).txt"
aleatorias,40,780,"instancias/aleatorias/RAND-(40, 4).txt"
aleatorias,40,780,"instancias/aleatorias/RAND-(40, 5).txt"
aleatorias,40,780,"instancias/aleatorias/RAND-(40, 6).txt"
aleatorias,40,780,"instancias/aleatorias/RAND-(40, 7).txt"
aleatorias,40,780,"instancias/aleatorias/RAND-(40, 8).txt"
aleatorias,40,780,"instancias/aleatorias/RAND-(40, 9).txt"
aleatorias,50,1225,"instancias/aleatorias/RAND-(50, 0).txt"
aleatorias,50,1225,"instancias/aleatorias/RAND-(50, 1).txt"
aleatorias,50,1225,"instancias/aleatorias/RAND-(50, 2).txt"
aleatorias,50,1225,"instancias/aleatorias/RAND-(50, 3).txt"
aleatorias,50,1225,"instancias/aleatorias/RAND-(50, 4).txt"
aleatorias,50,1225,"instancias/aleatorias/RAND-(50, 5).txt"
aleatorias,50,1225,"instancias/aleatorias/RAND-(50, 6).txt"
aleatorias,50,1225,"instancias/aleatorias/RAND-(50, 7).txt"
aleatorias,50,1225,"instancias/aleatorias/RAND-(50, 8).txt"
aleatorias,50,1225,"instancias/aleatorias/RAND-(50, 9).txt"
aleatorias,60,1770,"instancias/aleatorias/RAND-(60, 0).txt"
aleatorias,60,1770,"instancias/aleatorias/RAND-(60, 1).txt"
aleatorias,60,1770,"instancias/aleatorias/RAND-(60, 2).txt"
aleatorias,60,1770,"instancias/aleatorias/RAND-(60, 3).txt"
aleatorias,60,1770,"instancias/aleatorias/RAND-(60, 4).txt"
aleatorias,60,1770,"instancias/aleatorias/RAND-(60, 5).txt"
aleatorias,60,1770,"instancias/aleatorias/RAND-(60, 6).txt"
aleatorias,60,1770,"instancias/aleatorias/RAND-(60, 7).txt"
aleatorias,60,1770,"instancias/aleatorias/RAND-(60, 8).txt"
aleatorias,60,1770,"instancias/aleatorias/RAND-(60, 9).txt"
aleatorias,70,2415,"instancias/aleatorias/RAND-(70, 0).txt"
aleatorias,70,2415,"instancias/aleatorias/RAND-(70, 1).txt"
aleatorias,70,2415,"instancias/aleatorias/RAND-(70, 2).txt"
aleatorias,70,2415,"instancias/aleatorias/RAND-(70, 3).txt"
aleatorias,70,2415,"instancias/aleatorias/RAND-(70, 4).txt"
aleatorias,70,2415,"instancias/aleatorias/RAND-(70, 5).txt"
aleatorias,70,2415,"instancias/aleatorias/RAND-(70, 6).txt"
aleatorias,70,2415,"instancias/aleatorias/RAND-(70, 7).txt"
aleatorias,70,2415,"instancias/aleatorias/RAND-(70, 8).txt"
aleatorias,70,2415,"instancias/aleatorias/RAND-(70, 9).txt"
aleatorias,80,3160,"instancias/aleatorias/RAND-(80, 0).txt"
aleatorias,80,3160,"instancias/aleatorias/RAND-(80, 1).txt"
aleatorias,80,3160,"instancias/aleatorias/RAND-(80, 2).txt"
aleatorias,80,3160,"instancias/aleatorias/RAND-(80, 3).txt"
aleatorias,80,3160,"instancias/aleatorias/RAND-(80, 4).txt"
aleatorias,80,3160,"instancias/aleatorias/RAND-(80, 5).txt"
aleatorias,80,3160,"instancias/aleatorias/RAND-(80, 6).txt"
aleatorias,80,3160,"instancias/aleatorias/RAND-(80, 7).txt"
aleatorias,80,3160,"instancias/aleatorias/RAND-(80, 8).txt"
aleatorias,80,3160,"instancias/aleatorias/RAND-(80, 9).txt"
aleatorias,90,4005,"instancias/aleatorias/RAND-(90, 0).txt"
aleatorias,90,4005,"instancias/aleatorias/RAND-(90, 1).txt"
aleatorias,90,4005,"instancias/aleatorias/RAND-(90, 2).txt"
aleatorias,90,4005,"instancias/aleatorias/RAND-(90, 3).txt"
aleatorias,90,4005,"instancias/aleatorias/RAND-(90, 4).txt"
aleatorias,90,4005,"instancias/aleatorias/RAND-(90, 5).txt"
aleatorias,90,4005,"instancias/aleatorias/RAND-(90, 6).txt"
aleatorias,90,4005,"instancias/aleatorias/RAND-(90, 7).txt"
aleatorias,90,4005,"instancias/aleatorias/RAND-(90, 8).txt"
aleatorias,90,4005,"instancias/aleatorias/RAND-(90, 9).txt"
aleatorias,100,4950,"instancias/aleatorias/RAND-(100, 0).txt"
aleatorias,100,4950,"instancias/aleatorias/RAND-(100, 1).txt"
aleatorias,100,4950,"instancias/aleatorias/RAND-(100, 2).txt"
aleatorias,100,4950,"instancias/aleatorias/RAND-(100, 3).txt"
aleatorias,100,4950,"instancias/aleatorias/RAND-(100, 4).txt"
aleatorias,100,4950,"instancias/aleatorias/RAND-(100, 5).txt"
aleatorias,100,4950,"instancias/aleatorias/RAND-(100, 6).txt"
aleatorias,100,4950,"instancias/aleatorias/RAND-(100, 7).txt"
aleatorias,100,4950,"instancias/aleatorias/RAND-(100, 8).txt"
aleatorias,100,4950,"instancias/aleatorias/RAND-(100, 9).txt"
