dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones
instancias-tsplib,29,406,AGM,2716.0,2020,0.3445544554455445,0.069813,-,-
instancias-tsplib,52,1326,AGM,10227.0,7542,0.3560063643595863,0.18756,-,-
instancias-tsplib,14,91,AGM,4118.0,3323,0.23924164911224796,0.030585,-,-
instancias-tsplib,130,8385,AGM,8496.0,6110,0.3905073649754501,0.829696,-,-
instancias-tsplib,29,406,INS,2306.0,2020,0.14158415841584157,0.300355,-,-
instancias-tsplib,52,1326,INS,8859.0,7542,0.17462211614956244,1.1653,-,-
instancias-tsplib,14,91,INS,3522.0,3323,0.05988564550105326,0.083903,-,-
instancias-tsplib,130,8385,INS,7454.0,6110,0.2199672667757774,11.4424,-,-
instancias-tsplib,29,406,VEC,2258.0,2020,0.11782178217821782,0.037649,-,-
instancias-tsplib,52,1326,VEC,8980.0,7542,0.19066560594006896,0.081401,-,-
instancias-tsplib,14,91,VEC,4048.0,3323,0.21817634667469155,0.026881,-,-
instancias-tsplib,130,8385,VEC,7579.0,6110,0.2404255319148936,0.339159,-,-
instancias-tsplib,29,406,TABU_A,2179.0,2020,0.07871287128712871,8.65438,3,3
instancias-tsplib,52,1326,TABU_A,8723.0,7542,0.15658976398833202,53.7404,3,3
instancias-tsplib,14,91,TABU_A,3769.0,3323,0.13421606981643094,0.862584,3,3
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,1041.65,3,3
instancias-tsplib,29,406,TABU_S,2060.0,2020,0.019801980198019802,2.07276,3,3
instancias-tsplib,52,1326,TABU_S,8225.0,7542,0.090559533280297,10.9303,3,3
instancias-tsplib,14,91,TABU_S,3416.0,3323,0.027986758952753536,0.451126,3,3
instancias-tsplib,130,8385,TABU_S,7174.0,6110,0.17414075286415712,135.015,3,3
aleatorias,10,45,AGM,24.0,-,-,0.025439,-,-
aleatorias,10,45,AGM,27.0,-,-,0.025384,-,-
aleatorias,10,45,AGM,19.0,-,-,0.024707,-,-
aleatorias,10,45,AGM,22.0,-,-,0.025472,-,-
aleatorias,10,45,AGM,23.0,-,-,0.024859,-,-
aleatorias,10,45,AGM,24.0,-,-,0.026643,-,-
aleatorias,10,45,AGM,17.0,-,-,0.025004,-,-
aleatorias,10,45,AGM,34.0,-,-,0.024236,-,-
aleatorias,10,45,AGM,19.0,-,-,0.025494,-,-
aleatorias,10,45,AGM,22.0,-,-,0.025698,-,-
aleatorias,20,190,AGM,126.0,-,-,0.052118,-,-
aleatorias,20,190,AGM,176.0,-,-,0.052202,-,-
aleatorias,20,190,AGM,127.0,-,-,0.053803,-,-
aleatorias,20,190,AGM,69.0,-,-,0.051593,-,-
aleatorias,20,190,AGM,63.0,-,-,0.052654,-,-
aleatorias,20,190,AGM,78.0,-,-,0.052878,-,-
aleatorias,20,190,AGM,94.0,-,-,0.053501,-,-
aleatorias,20,190,AGM,109.0,-,-,0.0686,-,-
aleatorias,20,190,AGM,122.0,-,-,0.051478,-,-
aleatorias,20,190,AGM,88.0,-,-,0.053723,-,-
aleatorias,30,435,AGM,167.0,-,-,0.089416,-,-
aleatorias,30,435,AGM,225.0,-,-,0.092797,-,-
aleatorias,30,435,AGM,211.0,-,-,0.09245,-,-
aleatorias,30,435,AGM,296.0,-,-,0.091152,-,-
aleatorias,30,435,AGM,124.0,-,-,0.092291,-,-
aleatorias,30,435,AGM,222.0,-,-,0.094972,-,-
aleatorias,30,435,AGM,219.0,-,-,0.091451,-,-
aleatorias,30,435,AGM,199.0,-,-,0.091284,-,-
aleatorias,30,435,AGM,234.0,-,-,0.091837,-,-
aleatorias,30,435,AGM,228.0,-,-,0.116024,-,-
aleatorias,40,780,AGM,457.0,-,-,0.150428,-,-
aleatorias,40,780,AGM,398.0,-,-,0.152705,-,-
aleatorias,40,780,AGM,506.0,-,-,0.141088,-,-
aleatorias,40,780,AGM,433.0,-,-,0.138573,-,-
aleatorias,40,780,AGM,364.0,-,-,0.140529,-,-
aleatorias,40,780,AGM,296.0,-,-,0.141884,-,-
aleatorias,40,780,AGM,393.0,-,-,0.140747,-,-
aleatorias,40,780,AGM,418.0,-,-,0.140997,-,-
