dataset,n,m,metodo,obtenido,optimo,esperado,tiempo,k
malo-ins,5,15,INS,17.0,7,17,0.026346,10
malo-ins,6,21,INS,11.0,14,24,0.040429,10
malo-ins,7,28,INS,14.0,21,31,0.051848,10
malo-ins,8,36,INS,17.0,28,38,0.09049,10
malo-ins,9,45,INS,20.0,35,45,0.096551,10
malo-ins,10,55,INS,23.0,42,52,0.154696,10
malo-ins,11,66,INS,26.0,49,59,0.126204,10
malo-ins,12,78,INS,29.0,56,66,0.173599,10
malo-ins,13,91,INS,32.0,63,73,0.213337,10
malo-ins,14,105,INS,35.0,70,80,0.211252,10
malo-ins,15,120,INS,38.0,77,87,0.242286,10
malo-ins,16,136,INS,41.0,84,94,0.305975,10
malo-ins,17,153,INS,44.0,91,101,0.296565,10
malo-ins,18,171,INS,47.0,98,108,0.326278,10
malo-ins,19,190,INS,50.0,105,115,0.415922,10
malo-ins,20,210,INS,53.0,112,122,0.445833,10
malo-ins,21,231,INS,56.0,119,129,0.466783,10
malo-ins,22,253,INS,59.0,126,136,0.540481,10
malo-ins,23,276,INS,62.0,133,143,0.595786,10
malo-ins,24,300,INS,65.0,140,150,0.621817,10
malo-ins,25,325,INS,68.0,147,157,0.699429,10
malo-ins,26,351,INS,71.0,154,164,0.75954,10
malo-ins,27,378,INS,74.0,161,171,0.860743,10
malo-ins,28,406,INS,77.0,168,178,1.2018,10
malo-ins,29,435,INS,80.0,175,185,1.19561,10
malo-ins,30,465,INS,83.0,182,192,1.12287,10
malo-ins,31,496,INS,86.0,189,199,1.09796,10
malo-ins,32,528,INS,89.0,196,206,1.34949,10
malo-ins,33,561,INS,92.0,203,213,1.3843,10
malo-ins,34,595,INS,95.0,210,220,1.44461,10
malo-ins,35,630,INS,98.0,217,227,1.87555,10
malo-ins,36,666,INS,101.0,224,234,1.55648,10
malo-ins,37,703,INS,104.0,231,241,1.69674,10
malo-ins,38,741,INS,107.0,238,248,1.82615,10
malo-ins,39,780,INS,110.0,245,255,2.00693,10
malo-ins,40,820,INS,113.0,252,262,2.1,10
malo-ins,41,861,INS,116.0,259,269,2.20976,10
malo-ins,42,903,INS,119.0,266,276,2.37692,10
malo-ins,43,946,INS,122.0,273,283,2.8558,10
malo-ins,44,990,INS,125.0,280,290,3.32874,10
malo-ins,45,1035,INS,128.0,287,297,3.1482,10
malo-ins,46,1081,INS,131.0,294,304,3.00869,10
malo-ins,47,1128,INS,134.0,301,311,3.10832,10
malo-ins,48,1176,INS,137.0,308,318,3.5853,10
malo-ins,49,1225,INS,140.0,315,325,4.00926,10
malo-ins,50,1275,INS,143.0,322,332,3.55191,10
malo-ins,51,1326,INS,146.0,329,339,4.516,10
malo-ins,52,1378,INS,149.0,336,346,4.18485,10
malo-ins,53,1431,INS,152.0,343,353,4.02139,10
malo-ins,54,1485,INS,155.0,350,360,5.29481,10
malo-ins,55,1540,INS,158.0,357,367,4.50422,10
malo-ins,56,1596,INS,161.0,364,374,5.62667,10
malo-ins,57,1653,INS,164.0,371,381,5.0444,10
malo-ins,58,1711,INS,167.0,378,388,5.21267,10
malo-ins,59,1770,INS,170.0,385,395,5.38666,10
malo-ins,60,1830,INS,173.0,392,402,5.58535,10
malo-ins,61,1891,INS,176.0,399,409,5.9688,10
malo-ins,62,1953,INS,179.0,406,416,6.00117,10
malo-ins,63,2016,INS,182.0,413,423,6.23612,10
malo-ins,64,2080,INS,185.0,420,430,6.6366,10
malo-ins,65,2145,INS,188.0,427,437,8.09048,10
malo-ins,66,2211,INS,191.0,434,444,7.04942,10
malo-ins,67,2278,INS,194.0,441,451,7.29975,10
malo-ins,68,2346,INS,197.0,448,458,8.86779,10
malo-ins,69,2415,INS,200.0,455,465,7.88868,10
malo-ins,70,2485,INS,203.0,462,472,9.21737,10
malo-ins,71,2556,INS,206.0,469,479,9.89426,10
malo-ins,72,2628,INS,209.0,476,486,10.3825,10
malo-ins,73,2701,INS,212.0,483,493,9.43341,10
malo-ins,74,2775,INS,215.0,490,500,9.9818,10
malo-ins,75,2850,INS,218.0,497,507,10.4309,10
malo-ins,76,2926,INS,221.0,504,514,12.1443,10
malo-ins,77,3003,INS,224.0,511,521,10.9785,10
malo-ins,78,3081,INS,227.0,518,528,12.7756,10
malo-ins,79,3160,INS,230.0,525,535,14.0001,10
malo-ins,80,3240,INS,233.0,532,542,11.7179,10
malo-ins,81,3321,INS,236.0,539,549,12.9136,10
malo-ins,82,3403,INS,239.0,546,556,12.7325,10
malo-ins,83,3486,INS,242.0,553,563,15.6398,10
malo-ins,84,3570,INS,245.0,560,570,13.9324,10
malo-ins,85,3655,INS,248.0,567,577,13.699,10
malo-ins,86,3741,INS,251.0,574,584,13.9781,10
malo-ins,87,3828,INS,254.0,581,591,14.7799,10
malo-ins,88,3916,INS,257.0,588,598,16.4825,10
malo-ins,89,4005,INS,260.0,595,605,17.3503,10
malo-ins,90,4095,INS,263.0,602,612,17.2606,10
malo-ins,91,4186,INS,266.0,609,619,18.4438,10
malo-ins,92,4278,INS,269.0,616,626,18.0515,10
malo-ins,93,4371,INS,272.0,623,633,18.2563,10
malo-ins,94,4465,INS,275.0,630,640,18.2838,10
malo-ins,95,4560,INS,278.0,637,647,18.0805,10
malo-ins,96,4656,INS,281.0,644,654,21.1648,10
malo-ins,97,4753,INS,284.0,651,661,18.9218,10
malo-ins,98,4851,INS,287.0,658,668,19.5681,10
malo-ins,99,4950,INS,290.0,665,675,22.137,10
