dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,130,8385,TABU_A,7498.0,6110,0.2271685761047463,2951.78,130,30,0.2
instancias-tsplib,130,8385,TABU_S,6619.0,6110,0.08330605564648118,504.168,130,30,0.2
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,5614.75,130,30,0.4
instancias-tsplib,130,8385,TABU_S,6587.0,6110,0.07806873977086742,652.202,130,30,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,8214.97,130,30,0.6
instancias-tsplib,130,8385,TABU_S,6535.0,6110,0.06955810147299508,826.971,130,30,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,10832.1,130,30,0.8
instancias-tsplib,130,8385,TABU_S,6566.0,6110,0.07463175122749591,960.242,130,30,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,13466.0,130,30,1.0
instancias-tsplib,130,8385,TABU_S,6479.0,6110,0.06039279869067103,1144.12,130,30,1.0
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,2764.27,130,28,0.2
instancias-tsplib,130,8385,TABU_S,6615.0,6110,0.08265139116202946,457.915,130,28,0.2
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,5229.48,130,28,0.4
instancias-tsplib,130,8385,TABU_S,6599.0,6110,0.08003273322422258,607.426,130,28,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,7713.61,130,28,0.6
instancias-tsplib,130,8385,TABU_S,6583.0,6110,0.07741407528641571,752.636,130,28,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,10135.8,130,28,0.8
instancias-tsplib,130,8385,TABU_S,6479.0,6110,0.06039279869067103,908.046,130,28,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,12573.1,130,28,1.0
instancias-tsplib,130,8385,TABU_S,6479.0,6110,0.06039279869067103,1061.27,130,28,1.0
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,2576.22,130,26,0.2
instancias-tsplib,130,8385,TABU_S,6706.0,6110,0.09754500818330605,428.364,130,26,0.2
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,4855.42,130,26,0.4
instancias-tsplib,130,8385,TABU_S,6604.0,6110,0.08085106382978724,560.574,130,26,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,7147.94,130,26,0.6
instancias-tsplib,130,8385,TABU_S,6570.0,6110,0.07528641571194762,699.856,130,26,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,9415.06,130,26,0.8
instancias-tsplib,130,8385,TABU_S,6535.0,6110,0.06955810147299508,833.64,130,26,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,11677.0,130,26,1.0
instancias-tsplib,130,8385,TABU_S,6479.0,6110,0.06039279869067103,988.798,130,26,1.0
instancias-tsplib,130,8385,TABU_A,7465.0,6110,0.22176759410801963,2370.16,130,24,0.2
instancias-tsplib,130,8385,TABU_S,6670.0,6110,0.09165302782324058,393.642,130,24,0.2
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,4493.65,130,24,0.4
instancias-tsplib,130,8385,TABU_S,6653.0,6110,0.08887070376432078,519.418,130,24,0.4
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,6563.05,130,24,0.6
instancias-tsplib,130,8385,TABU_S,6571.0,6110,0.07545008183306055,640.064,130,24,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,8679.49,130,24,0.8
instancias-tsplib,130,8385,TABU_S,6548.0,6110,0.07168576104746317,769.986,130,24,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,10805.5,130,24,1.0
instancias-tsplib,130,8385,TABU_S,6479.0,6110,0.06039279869067103,911.898,130,24,1.0
instancias-tsplib,130,8385,TABU_A,7465.0,6110,0.22176759410801963,2188.43,130,22,0.2
instancias-tsplib,130,8385,TABU_S,6625.0,6110,0.08428805237315876,359.433,130,22,0.2
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,4096.41,130,22,0.4
instancias-tsplib,130,8385,TABU_S,6625.0,6110,0.08428805237315876,472.755,130,22,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,6027.77,130,22,0.6
instancias-tsplib,130,8385,TABU_S,6487.0,6110,0.06170212765957447,591.761,130,22,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,7967.71,130,22,0.8
