dataset,n,m,metodo,obtenido,optimo,esperado,tiempo,k
malo-agm-vec,4,6,AGM,103.0,103,6,0.016043,"instancias/malo-agm-vec/MALO-AGM-VEC-(4, 100).txt"
malo-agm-vec,5,10,AGM,104.0,104,7,0.019981,"instancias/malo-agm-vec/MALO-AGM-VEC-(5, 100).txt"
malo-agm-vec,6,15,AGM,105.0,105,8,0.019241,"instancias/malo-agm-vec/MALO-AGM-VEC-(6, 100).txt"
malo-agm-vec,7,21,AGM,106.0,106,9,0.02323,"instancias/malo-agm-vec/MALO-AGM-VEC-(7, 100).txt"
malo-agm-vec,8,28,AGM,107.0,107,10,0.022447,"instancias/malo-agm-vec/MALO-AGM-VEC-(8, 100).txt"
malo-agm-vec,9,36,AGM,108.0,108,11,0.024874,"instancias/malo-agm-vec/MALO-AGM-VEC-(9, 100).txt"
malo-agm-vec,10,45,AGM,109.0,109,12,0.026529,"instancias/malo-agm-vec/MALO-AGM-VEC-(10, 100).txt"
malo-agm-vec,11,55,AGM,110.0,110,13,0.033239,"instancias/malo-agm-vec/MALO-AGM-VEC-(11, 100).txt"
malo-agm-vec,12,66,AGM,111.0,111,14,0.036755,"instancias/malo-agm-vec/MALO-AGM-VEC-(12, 100).txt"
malo-agm-vec,13,78,AGM,112.0,112,15,0.043289,"instancias/malo-agm-vec/MALO-AGM-VEC-(13, 100).txt"
malo-agm-vec,14,91,AGM,113.0,113,16,0.034459,"instancias/malo-agm-vec/MALO-AGM-VEC-(14, 100).txt"
malo-agm-vec,15,105,AGM,114.0,114,17,0.040745,"instancias/malo-agm-vec/MALO-AGM-VEC-(15, 100).txt"
malo-agm-vec,16,120,AGM,115.0,115,18,0.044458,"instancias/malo-agm-vec/MALO-AGM-VEC-(16, 100).txt"
malo-agm-vec,17,136,AGM,116.0,116,19,0.043473,"instancias/malo-agm-vec/MALO-AGM-VEC-(17, 100).txt"
malo-agm-vec,18,153,AGM,117.0,117,20,0.050241,"instancias/malo-agm-vec/MALO-AGM-VEC-(18, 100).txt"
malo-agm-vec,19,171,AGM,118.0,118,21,0.049602,"instancias/malo-agm-vec/MALO-AGM-VEC-(19, 100).txt"
malo-agm-vec,20,190,AGM,119.0,119,22,0.051967,"instancias/malo-agm-vec/MALO-AGM-VEC-(20, 100).txt"
malo-agm-vec,21,210,AGM,120.0,120,23,0.056113,"instancias/malo-agm-vec/MALO-AGM-VEC-(21, 100).txt"
malo-agm-vec,22,231,AGM,121.0,121,24,0.060398,"instancias/malo-agm-vec/MALO-AGM-VEC-(22, 100).txt"
malo-agm-vec,23,253,AGM,122.0,122,25,0.066007,"instancias/malo-agm-vec/MALO-AGM-VEC-(23, 100).txt"
malo-agm-vec,24,276,AGM,123.0,123,26,0.065718,"instancias/malo-agm-vec/MALO-AGM-VEC-(24, 100).txt"
malo-agm-vec,25,300,AGM,124.0,124,27,0.068374,"instancias/malo-agm-vec/MALO-AGM-VEC-(25, 100).txt"
malo-agm-vec,26,325,AGM,125.0,125,28,0.086092,"instancias/malo-agm-vec/MALO-AGM-VEC-(26, 100).txt"
malo-agm-vec,27,351,AGM,126.0,126,29,0.077567,"instancias/malo-agm-vec/MALO-AGM-VEC-(27, 100).txt"
malo-agm-vec,28,378,AGM,127.0,127,30,0.084131,"instancias/malo-agm-vec/MALO-AGM-VEC-(28, 100).txt"
malo-agm-vec,29,406,AGM,128.0,128,31,0.088343,"instancias/malo-agm-vec/MALO-AGM-VEC-(29, 100).txt"
malo-agm-vec,30,435,AGM,129.0,129,32,0.092529,"instancias/malo-agm-vec/MALO-AGM-VEC-(30, 100).txt"
