dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones
aleatorias-complejidad,3,3,INS,2.0,-,-,0.006038,-,-
aleatorias-complejidad,3,3,VEC,2.0,-,-,0.008184,-,-
aleatorias-complejidad,3,3,AGM,2.0,-,-,0.010612,-,-
aleatorias-complejidad,3,3,TABU_A,2.0,-,-,0.0232,3,5
aleatorias-complejidad,3,3,TABU_S,2.0,-,-,0.019285,3,5
aleatorias-complejidad,4,6,INS,7.0,-,-,0.011155,-,-
aleatorias-complejidad,4,6,VEC,7.0,-,-,0.008038,-,-
aleatorias-complejidad,4,6,AGM,7.0,-,-,0.010369,-,-
aleatorias-complejidad,4,6,TABU_A,7.0,-,-,0.031577,3,5
aleatorias-complejidad,4,6,TABU_S,7.0,-,-,0.038334,3,5
aleatorias-complejidad,5,10,INS,3.0,-,-,0.01406,-,-
aleatorias-complejidad,5,10,VEC,6.0,-,-,0.009984,-,-
aleatorias-complejidad,5,10,AGM,7.0,-,-,0.012398,-,-
aleatorias-complejidad,5,10,TABU_A,3.0,-,-,0.050213,3,5
aleatorias-complejidad,5,10,TABU_S,3.0,-,-,0.060137,3,5
aleatorias-complejidad,6,15,INS,4.0,-,-,0.018908,-,-
aleatorias-complejidad,6,15,VEC,8.0,-,-,0.010035,-,-
aleatorias-complejidad,6,15,AGM,5.0,-,-,0.014567,-,-
aleatorias-complejidad,6,15,TABU_A,5.0,-,-,0.075539,3,5
aleatorias-complejidad,6,15,TABU_S,4.0,-,-,0.089011,3,5
aleatorias-complejidad,7,21,INS,11.0,-,-,0.021967,-,-
aleatorias-complejidad,7,21,VEC,11.0,-,-,0.011133,-,-
aleatorias-complejidad,7,21,AGM,18.0,-,-,0.015641,-,-
aleatorias-complejidad,7,21,TABU_A,11.0,-,-,0.109503,3,5
aleatorias-complejidad,7,21,TABU_S,11.0,-,-,0.113194,3,5
aleatorias-complejidad,8,28,INS,13.0,-,-,0.029924,-,-
aleatorias-complejidad,8,28,VEC,14.0,-,-,0.013725,-,-
aleatorias-complejidad,8,28,AGM,22.0,-,-,0.01842,-,-
aleatorias-complejidad,8,28,TABU_A,13.0,-,-,0.163081,3,5
aleatorias-complejidad,8,28,TABU_S,13.0,-,-,0.154206,3,5
aleatorias-complejidad,9,36,INS,14.0,-,-,0.033739,-,-
aleatorias-complejidad,9,36,VEC,18.0,-,-,0.012748,-,-
aleatorias-complejidad,9,36,AGM,23.0,-,-,0.019092,-,-
aleatorias-complejidad,9,36,TABU_A,16.0,-,-,0.229307,3,5
aleatorias-complejidad,9,36,TABU_S,14.0,-,-,0.231012,3,5
aleatorias-complejidad,10,45,INS,15.0,-,-,0.039772,-,-
aleatorias-complejidad,10,45,VEC,16.0,-,-,0.014809,-,-
aleatorias-complejidad,10,45,AGM,25.0,-,-,0.020736,-,-
aleatorias-complejidad,10,45,TABU_A,16.0,-,-,0.319089,3,5
aleatorias-complejidad,10,45,TABU_S,16.0,-,-,0.273879,3,5
aleatorias-complejidad,11,55,INS,25.0,-,-,0.046666,-,-
aleatorias-complejidad,11,55,VEC,22.0,-,-,0.015403,-,-
aleatorias-complejidad,11,55,AGM,39.0,-,-,0.021303,-,-
aleatorias-complejidad,11,55,TABU_A,19.0,-,-,0.454702,3,5
aleatorias-complejidad,11,55,TABU_S,19.0,-,-,0.321123,3,5
aleatorias-complejidad,12,66,INS,14.0,-,-,0.055077,-,-
aleatorias-complejidad,12,66,VEC,26.0,-,-,0.018482,-,-
aleatorias-complejidad,12,66,AGM,43.0,-,-,0.026254,-,-
aleatorias-complejidad,12,66,TABU_A,21.0,-,-,0.539105,3,5
aleatorias-complejidad,12,66,TABU_S,11.0,-,-,0.373151,3,5
aleatorias-complejidad,13,78,INS,19.0,-,-,0.066224,-,-
aleatorias-complejidad,13,78,VEC,23.0,-,-,0.018776,-,-
aleatorias-complejidad,13,78,AGM,33.0,-,-,0.026177,-,-
aleatorias-complejidad,13,78,TABU_A,18.0,-,-,0.702227,3,5
aleatorias-complejidad,13,78,TABU_S,18.0,-,-,0.481258,3,5
aleatorias-complejidad,14,91,INS,41.0,-,-,0.075084,-,-
aleatorias-complejidad,14,91,VEC,39.0,-,-,0.019913,-,-
aleatorias-complejidad,14,91,AGM,57.0,-,-,0.029711,-,-
aleatorias-complejidad,14,91,TABU_A,31.0,-,-,0.877208,3,5
aleatorias-complejidad,14,91,TABU_S,25.0,-,-,0.564868,3,5
aleatorias-complejidad,15,105,INS,38.0,-,-,0.080893,-,-
aleatorias-complejidad,15,105,VEC,40.0,-,-,0.019974,-,-
aleatorias-complejidad,15,105,AGM,27.0,-,-,0.030527,-,-
aleatorias-complejidad,15,105,TABU_A,31.0,-,-,1.1871,3,5
aleatorias-complejidad,15,105,TABU_S,22.0,-,-,0.66676,3,5
aleatorias-complejidad,16,120,INS,41.0,-,-,0.091932,-,-
aleatorias-complejidad,16,120,VEC,49.0,-,-,0.022054,-,-
aleatorias-complejidad,16,120,AGM,83.0,-,-,0.032736,-,-
aleatorias-complejidad,16,120,TABU_A,46.0,-,-,1.39276,3,5
aleatorias-complejidad,16,120,TABU_S,38.0,-,-,0.737571,3,5
aleatorias-complejidad,17,136,INS,20.0,-,-,0.105135,-,-
aleatorias-complejidad,17,136,VEC,48.0,-,-,0.021782,-,-
aleatorias-complejidad,17,136,AGM,61.0,-,-,0.034397,-,-
aleatorias-complejidad,17,136,TABU_A,38.0,-,-,1.61654,3,5
aleatorias-complejidad,17,136,TABU_S,18.0,-,-,0.804531,3,5
aleatorias-complejidad,18,153,INS,56.0,-,-,0.114833,-,-
aleatorias-complejidad,18,153,VEC,51.0,-,-,0.024623,-,-
aleatorias-complejidad,18,153,AGM,104.0,-,-,0.037939,-,-
aleatorias-complejidad,18,153,TABU_A,45.0,-,-,2.20407,3,5
aleatorias-complejidad,18,153,TABU_S,37.0,-,-,1.10826,3,5
aleatorias-complejidad,19,171,INS,39.0,-,-,0.141617,-,-
aleatorias-complejidad,19,171,VEC,39.0,-,-,0.02728,-,-
aleatorias-complejidad,19,171,AGM,53.0,-,-,0.043572,-,-
aleatorias-complejidad,19,171,TABU_A,35.0,-,-,2.70688,3,5
aleatorias-complejidad,19,171,TABU_S,24.0,-,-,1.3716,3,5
aleatorias-complejidad,20,190,INS,69.0,-,-,0.169869,-,-
aleatorias-complejidad,20,190,VEC,57.0,-,-,0.0325,-,-
aleatorias-complejidad,20,190,AGM,55.0,-,-,0.050237,-,-
aleatorias-complejidad,20,190,TABU_A,50.0,-,-,3.4245,3,5
aleatorias-complejidad,20,190,TABU_S,40.0,-,-,1.59657,3,5
aleatorias-complejidad,21,210,INS,46.0,-,-,0.196082,-,-
aleatorias-complejidad,21,210,VEC,42.0,-,-,0.034435,-,-
aleatorias-complejidad,21,210,AGM,78.0,-,-,0.055488,-,-
aleatorias-complejidad,21,210,TABU_A,38.0,-,-,3.944,3,5
aleatorias-complejidad,21,210,TABU_S,37.0,-,-,1.74468,3,5
aleatorias-complejidad,22,231,INS,77.0,-,-,0.221826,-,-
aleatorias-complejidad,22,231,VEC,58.0,-,-,0.036741,-,-
aleatorias-complejidad,22,231,AGM,146.0,-,-,0.060056,-,-
aleatorias-complejidad,22,231,TABU_A,52.0,-,-,4.83378,3,5
aleatorias-complejidad,22,231,TABU_S,47.0,-,-,1.99918,3,5
aleatorias-complejidad,23,253,INS,78.0,-,-,0.239908,-,-
aleatorias-complejidad,23,253,VEC,55.0,-,-,0.037939,-,-
aleatorias-complejidad,23,253,AGM,99.0,-,-,0.062063,-,-
aleatorias-complejidad,23,253,TABU_A,48.0,-,-,5.55409,3,5
aleatorias-complejidad,23,253,TABU_S,37.0,-,-,2.22396,3,5
aleatorias-complejidad,24,276,INS,60.0,-,-,0.289636,-,-
aleatorias-complejidad,24,276,VEC,77.0,-,-,0.03982,-,-
aleatorias-complejidad,24,276,AGM,71.0,-,-,0.067158,-,-
aleatorias-complejidad,24,276,TABU_A,67.0,-,-,6.16243,3,5
aleatorias-complejidad,24,276,TABU_S,41.0,-,-,2.58748,3,5
aleatorias-complejidad,25,300,INS,61.0,-,-,0.341354,-,-
aleatorias-complejidad,25,300,VEC,55.0,-,-,0.042016,-,-
aleatorias-complejidad,25,300,AGM,193.0,-,-,0.069819,-,-
aleatorias-complejidad,25,300,TABU_A,46.0,-,-,7.05632,3,5
aleatorias-complejidad,25,300,TABU_S,39.0,-,-,3.04922,3,5
aleatorias-complejidad,26,325,INS,68.0,-,-,0.311857,-,-
aleatorias-complejidad,26,325,VEC,80.0,-,-,0.044281,-,-
aleatorias-complejidad,26,325,AGM,138.0,-,-,0.071719,-,-
aleatorias-complejidad,26,325,TABU_A,62.0,-,-,7.79309,3,5
aleatorias-complejidad,26,325,TABU_S,44.0,-,-,3.15015,3,5
aleatorias-complejidad,27,351,INS,72.0,-,-,0.338802,-,-
aleatorias-complejidad,27,351,VEC,75.0,-,-,0.048936,-,-
aleatorias-complejidad,27,351,AGM,154.0,-,-,0.077875,-,-
aleatorias-complejidad,27,351,TABU_A,67.0,-,-,8.95905,3,5
aleatorias-complejidad,27,351,TABU_S,45.0,-,-,3.58516,3,5
aleatorias-complejidad,28,378,INS,95.0,-,-,0.383923,-,-
aleatorias-complejidad,28,378,VEC,69.0,-,-,0.04881,-,-
aleatorias-complejidad,28,378,AGM,161.0,-,-,0.079692,-,-
aleatorias-complejidad,28,378,TABU_A,55.0,-,-,9.97628,3,5
aleatorias-complejidad,28,378,TABU_S,47.0,-,-,3.7224,3,5
aleatorias-complejidad,29,406,INS,91.0,-,-,0.391368,-,-
aleatorias-complejidad,29,406,VEC,73.0,-,-,0.05056,-,-
aleatorias-complejidad,29,406,AGM,249.0,-,-,0.085949,-,-
aleatorias-complejidad,29,406,TABU_A,60.0,-,-,11.1781,3,5
