dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,280,39060,VEC,3157.0,2579,0.22411787514540518,0.911678,-,-,-
instancias-tsplib,280,39060,INS,3111.0,2579,0.20628150445909268,88.7128,-,-,-
instancias-tsplib,280,39060,AGM,3923.0,2579,0.521132221791392,2.9375,-,-,-
instancias-tsplib,280,39060,TABU_A,2999.0,2579,0.16285381930981,80052.7,3,19,0.9
instancias-tsplib,280,39060,TABU_S,2820.0,2579,0.0934470725087243,5152.65,3,19,0.9
instancias-tsplib,200,19900,VEC,35859.0,29368,0.22102288204848816,0.515254,-,-,-
instancias-tsplib,200,19900,INS,35281.0,29368,0.2013415962952874,33.6243,-,-,-
instancias-tsplib,200,19900,AGM,41201.0,29368,0.4029215472623263,1.7195,-,-,-
instancias-tsplib,200,19900,TABU_A,33483.0,29368,0.14011849632252793,26675.7,3,19,0.9
instancias-tsplib,200,19900,TABU_S,30698.0,29368,0.045287387632797604,1858.2,3,19,0.9
instancias-tsplib,318,50403,VEC,54019.0,42029,0.2852792119726855,1.13586,-,-,-
instancias-tsplib,318,50403,INS,50650.0,42029,0.2051202740964572,120.248,-,-,-
instancias-tsplib,318,50403,AGM,63157.0,42029,0.5027005163101668,3.71748,-,-,-
instancias-tsplib,318,50403,TABU_A,50743.0,42029,0.20733303195412692,117107.0,3,19,0.9
instancias-tsplib,318,50403,TABU_S,47565.0,42029,0.1317185752694568,7372.86,3,19,0.9
