dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,1.93439,0,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.14552,1,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.04674,2,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.07302,3,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.07274,4,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.07321,5,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.17975,6,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.15712,7,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.32284,8,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.23203,9,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.25801,10,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.38833,11,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.12527,12,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.21479,13,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.19574,14,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.32136,15,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.16317,16,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.21129,17,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.31579,18,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.1846,19,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.1773,20,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.3867,21,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.36235,22,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.48988,23,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.26401,24,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.20474,25,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.34362,26,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.39458,27,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.25364,28,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.13935,29,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.3813,30,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.18762,31,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.2733,32,15,1.0
