dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,29,406,TABU_A,2258.0,2020,0.11782178217821782,21.3273,0,15,0.2
instancias-tsplib,29,406,TABU_S,2139.0,2020,0.05891089108910891,5.49447,0,15,0.2
instancias-tsplib,29,406,TABU_A,2058.0,2020,0.01881188118811881,36.4885,0,15,0.5
instancias-tsplib,29,406,TABU_S,2051.0,2020,0.015346534653465346,7.56944,0,15,0.5
instancias-tsplib,29,406,TABU_A,2039.0,2020,0.009405940594059406,71.1257,0,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,10.393,0,15,1.0
instancias-tsplib,29,406,TABU_A,2158.0,2020,0.06831683168316832,17.0666,1,15,0.2
instancias-tsplib,29,406,TABU_S,2176.0,2020,0.07722772277227723,5.92339,1,15,0.2
instancias-tsplib,29,406,TABU_A,2053.0,2020,0.016336633663366337,36.0707,1,15,0.5
instancias-tsplib,29,406,TABU_S,2058.0,2020,0.01881188118811881,7.65047,1,15,0.5
instancias-tsplib,29,406,TABU_A,2039.0,2020,0.009405940594059406,67.6045,1,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,10.385,1,15,1.0
instancias-tsplib,29,406,TABU_A,2112.0,2020,0.04554455445544554,18.0796,2,15,0.2
instancias-tsplib,29,406,TABU_S,2158.0,2020,0.06831683168316832,6.29214,2,15,0.2
instancias-tsplib,29,406,TABU_A,2066.0,2020,0.02277227722772277,39.4494,2,15,0.5
instancias-tsplib,29,406,TABU_S,2058.0,2020,0.01881188118811881,8.51151,2,15,0.5
instancias-tsplib,29,406,TABU_A,2041.0,2020,0.010396039603960397,71.9296,2,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,11.1875,2,15,1.0
instancias-tsplib,29,406,TABU_A,2132.0,2020,0.055445544554455446,18.1506,3,15,0.2
instancias-tsplib,29,406,TABU_S,2162.0,2020,0.0702970297029703,6.15647,3,15,0.2
instancias-tsplib,29,406,TABU_A,2072.0,2020,0.02574257425742574,37.7974,3,15,0.5
instancias-tsplib,29,406,TABU_S,2077.0,2020,0.02821782178217822,8.35643,3,15,0.5
instancias-tsplib,29,406,TABU_A,2053.0,2020,0.016336633663366337,73.304,3,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.1338,3,15,1.0
instancias-tsplib,29,406,TABU_A,2113.0,2020,0.04603960396039604,25.8993,4,15,0.2
instancias-tsplib,29,406,TABU_S,2186.0,2020,0.08217821782178218,7.47503,4,15,0.2
instancias-tsplib,29,406,TABU_A,2083.0,2020,0.031188118811881188,40.6848,4,15,0.5
instancias-tsplib,29,406,TABU_S,2085.0,2020,0.03217821782178218,9.76758,4,15,0.5
instancias-tsplib,29,406,TABU_A,2053.0,2020,0.016336633663366337,75.215,4,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,15.8994,4,15,1.0
instancias-tsplib,29,406,TABU_A,2179.0,2020,0.07871287128712871,19.3013,5,15,0.2
instancias-tsplib,29,406,TABU_S,2186.0,2020,0.08217821782178218,6.5066,5,15,0.2
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,38.5421,5,15,0.5
instancias-tsplib,29,406,TABU_S,2076.0,2020,0.027722772277227723,8.36629,5,15,0.5
instancias-tsplib,29,406,TABU_A,2053.0,2020,0.016336633663366337,71.3475,5,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.1631,5,15,1.0
instancias-tsplib,29,406,TABU_A,2157.0,2020,0.06782178217821783,17.858,6,15,0.2
instancias-tsplib,29,406,TABU_S,2186.0,2020,0.08217821782178218,6.28272,6,15,0.2
instancias-tsplib,29,406,TABU_A,2100.0,2020,0.039603960396039604,36.9088,6,15,0.5
instancias-tsplib,29,406,TABU_S,2041.0,2020,0.010396039603960397,8.77022,6,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,71.3845,6,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.3722,6,15,1.0
instancias-tsplib,29,406,TABU_A,2186.0,2020,0.08217821782178218,18.389,7,15,0.2
instancias-tsplib,29,406,TABU_S,2110.0,2020,0.04455445544554455,6.36836,7,15,0.2
instancias-tsplib,29,406,TABU_A,2100.0,2020,0.039603960396039604,37.0971,7,15,0.5
instancias-tsplib,29,406,TABU_S,2051.0,2020,0.015346534653465346,8.74564,7,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,68.8995,7,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.731,7,15,1.0
instancias-tsplib,29,406,TABU_A,2258.0,2020,0.11782178217821782,17.9976,8,15,0.2
instancias-tsplib,29,406,TABU_S,2179.0,2020,0.07871287128712871,6.48735,8,15,0.2
instancias-tsplib,29,406,TABU_A,2100.0,2020,0.039603960396039604,37.1503,8,15,0.5
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,8.53445,8,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,69.257,8,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.1216,8,15,1.0
instancias-tsplib,29,406,TABU_A,2179.0,2020,0.07871287128712871,17.9705,9,15,0.2
instancias-tsplib,29,406,TABU_S,2144.0,2020,0.061386138613861385,6.32542,9,15,0.2
instancias-tsplib,29,406,TABU_A,2079.0,2020,0.02920792079207921,37.8672,9,15,0.5
instancias-tsplib,29,406,TABU_S,2058.0,2020,0.01881188118811881,8.7347,9,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,70.7673,9,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.3118,9,15,1.0
instancias-tsplib,29,406,TABU_A,2231.0,2020,0.10445544554455445,18.0976,10,15,0.2
