dataset,n,m,metodo,obtenido,optimo,esperado,tiempo,k
malo-agm-vec,4,6,VEC,19.0,6,19,0.015556,16
malo-agm-vec,5,10,VEC,29.0,7,29,0.019553,25
malo-agm-vec,6,15,VEC,41.0,8,41,0.01936,36
malo-agm-vec,7,21,VEC,55.0,9,55,0.026949,49
malo-agm-vec,8,28,VEC,71.0,10,71,0.018748,64
malo-agm-vec,9,36,VEC,89.0,11,89,0.023292,81
malo-agm-vec,10,45,VEC,109.0,12,109,0.02977,100
malo-agm-vec,11,55,VEC,131.0,13,131,0.029907,121
malo-agm-vec,12,66,VEC,155.0,14,155,0.033977,144
malo-agm-vec,13,78,VEC,181.0,15,181,0.03757,169
malo-agm-vec,14,91,VEC,209.0,16,209,0.034334,196
malo-agm-vec,15,105,VEC,239.0,17,239,0.034635,225
malo-agm-vec,16,120,VEC,271.0,18,271,0.033245,256
malo-agm-vec,17,136,VEC,305.0,19,305,0.038539,289
malo-agm-vec,18,153,VEC,341.0,20,341,0.039868,324
malo-agm-vec,19,171,VEC,379.0,21,379,0.035471,361
malo-agm-vec,20,190,VEC,419.0,22,419,0.042646,400
malo-agm-vec,21,210,VEC,461.0,23,461,0.044482,441
malo-agm-vec,22,231,VEC,505.0,24,505,0.044896,484
malo-agm-vec,23,253,VEC,551.0,25,551,0.046393,529
malo-agm-vec,24,276,VEC,599.0,26,599,0.045868,576
malo-agm-vec,25,300,VEC,649.0,27,649,0.04773,625
malo-agm-vec,26,325,VEC,701.0,28,701,0.053618,676
malo-agm-vec,27,351,VEC,755.0,29,755,0.056884,729
malo-agm-vec,28,378,VEC,811.0,30,811,0.052742,784
malo-agm-vec,29,406,VEC,869.0,31,869,0.055708,841
malo-agm-vec,30,435,VEC,929.0,32,929,0.054786,900
malo-agm-vec,31,465,VEC,991.0,33,991,0.078317,961
malo-agm-vec,32,496,VEC,1055.0,34,1055,0.056097,1024
malo-agm-vec,33,528,VEC,1121.0,35,1121,0.067792,1089
malo-agm-vec,34,561,VEC,1189.0,36,1189,0.083673,1156
malo-agm-vec,35,595,VEC,1259.0,37,1259,0.060042,1225
malo-agm-vec,36,630,VEC,1331.0,38,1331,0.066385,1296
malo-agm-vec,37,666,VEC,1405.0,39,1405,0.066946,1369
malo-agm-vec,38,703,VEC,1481.0,40,1481,0.075276,1444
malo-agm-vec,39,741,VEC,1559.0,41,1559,0.070348,1521
malo-agm-vec,40,780,VEC,1639.0,42,1639,0.086673,1600
malo-agm-vec,41,820,VEC,1721.0,43,1721,0.076263,1681
malo-agm-vec,42,861,VEC,1805.0,44,1805,0.084486,1764
malo-agm-vec,43,903,VEC,1891.0,45,1891,0.086798,1849
malo-agm-vec,44,946,VEC,1979.0,46,1979,0.088825,1936
malo-agm-vec,45,990,VEC,2069.0,47,2069,0.087963,2025
malo-agm-vec,46,1035,VEC,2161.0,48,2161,0.094938,2116
malo-agm-vec,47,1081,VEC,2255.0,49,2255,0.091575,2209
malo-agm-vec,48,1128,VEC,2351.0,50,2351,0.088654,2304
malo-agm-vec,49,1176,VEC,2449.0,51,2449,0.107812,2401
malo-agm-vec,50,1225,VEC,2549.0,52,2549,0.111919,2500
malo-agm-vec,51,1275,VEC,2651.0,53,2651,0.096319,2601
malo-agm-vec,52,1326,VEC,2755.0,54,2755,0.103695,2704
malo-agm-vec,53,1378,VEC,2861.0,55,2861,0.118358,2809
malo-agm-vec,54,1431,VEC,2969.0,56,2969,0.112024,2916
malo-agm-vec,55,1485,VEC,3079.0,57,3079,0.116437,3025
malo-agm-vec,56,1540,VEC,3191.0,58,3191,0.118665,3136
malo-agm-vec,57,1596,VEC,3305.0,59,3305,0.127349,3249
malo-agm-vec,58,1653,VEC,3421.0,60,3421,0.125633,3364
malo-agm-vec,59,1711,VEC,3539.0,61,3539,0.119242,3481
malo-agm-vec,60,1770,VEC,3659.0,62,3659,0.140611,3600
malo-agm-vec,61,1830,VEC,3781.0,63,3781,0.135558,3721
malo-agm-vec,62,1891,VEC,3905.0,64,3905,0.130291,3844
malo-agm-vec,63,1953,VEC,4031.0,65,4031,0.135617,3969
malo-agm-vec,64,2016,VEC,4159.0,66,4159,0.160563,4096
malo-agm-vec,65,2080,VEC,4289.0,67,4289,0.138779,4225
malo-agm-vec,66,2145,VEC,4421.0,68,4421,0.148404,4356
malo-agm-vec,67,2211,VEC,4555.0,69,4555,0.143313,4489
malo-agm-vec,68,2278,VEC,4691.0,70,4691,0.143706,4624
malo-agm-vec,69,2346,VEC,4829.0,71,4829,0.164553,4761
malo-agm-vec,70,2415,VEC,4969.0,72,4969,0.161188,4900
malo-agm-vec,71,2485,VEC,5111.0,73,5111,0.162943,5041
malo-agm-vec,72,2556,VEC,5255.0,74,5255,0.17317,5184
malo-agm-vec,73,2628,VEC,5401.0,75,5401,0.159729,5329
malo-agm-vec,74,2701,VEC,5549.0,76,5549,0.195043,5476
malo-agm-vec,75,2775,VEC,5699.0,77,5699,0.168453,5625
malo-agm-vec,76,2850,VEC,5851.0,78,5851,0.178423,5776
malo-agm-vec,77,2926,VEC,6005.0,79,6005,0.173546,5929
malo-agm-vec,78,3003,VEC,6161.0,80,6161,0.193757,6084
malo-agm-vec,79,3081,VEC,6319.0,81,6319,0.192186,6241
malo-agm-vec,80,3160,VEC,6479.0,82,6479,0.168018,6400
malo-agm-vec,81,3240,VEC,6641.0,83,6641,0.219291,6561
malo-agm-vec,82,3321,VEC,6805.0,84,6805,0.19825,6724
malo-agm-vec,83,3403,VEC,6971.0,85,6971,0.192858,6889
malo-agm-vec,84,3486,VEC,7139.0,86,7139,0.212674,7056
malo-agm-vec,85,3570,VEC,7309.0,87,7309,0.204149,7225
malo-agm-vec,86,3655,VEC,7481.0,88,7481,0.213167,7396
malo-agm-vec,87,3741,VEC,7655.0,89,7655,0.220505,7569
malo-agm-vec,88,3828,VEC,7831.0,90,7831,0.220491,7744
malo-agm-vec,89,3916,VEC,8009.0,91,8009,0.210371,7921
malo-agm-vec,90,4005,VEC,8189.0,92,8189,0.226491,8100
malo-agm-vec,91,4095,VEC,8371.0,93,8371,0.246236,8281
malo-agm-vec,92,4186,VEC,8555.0,94,8555,0.222622,8464
