dataset,instancia,n,R,archivo
caso-random,RANDOM-1,1,2,instancias/caso-random/RANDOM-1.txt
caso-random,RANDOM-2,2,4,instancias/caso-random/RANDOM-2.txt
caso-random,RANDOM-3,3,6,instancias/caso-random/RANDOM-3.txt
caso-random,RANDOM-4,4,8,instancias/caso-random/RANDOM-4.txt
caso-random,RANDOM-5,5,10,instancias/caso-random/RANDOM-5.txt
caso-random,RANDOM-6,6,12,instancias/caso-random/RANDOM-6.txt
caso-random,RANDOM-7,7,14,instancias/caso-random/RANDOM-7.txt
caso-random,RANDOM-8,8,16,instancias/caso-random/RANDOM-8.txt
caso-random,RANDOM-9,9,18,instancias/caso-random/RANDOM-9.txt
caso-random,RANDOM-10,10,20,instancias/caso-random/RANDOM-10.txt
caso-random,RANDOM-11,11,22,instancias/caso-random/RANDOM-11.txt
caso-random,RANDOM-12,12,24,instancias/caso-random/RANDOM-12.txt
caso-random,RANDOM-13,13,26,instancias/caso-random/RANDOM-13.txt
caso-random,RANDOM-14,14,28,instancias/caso-random/RANDOM-14.txt
caso-random,RANDOM-15,15,30,instancias/caso-random/RANDOM-15.txt
caso-random,RANDOM-16,16,32,instancias/caso-random/RANDOM-16.txt
caso-random,RANDOM-17,17,34,instancias/caso-random/RANDOM-17.txt
caso-random,RANDOM-18,18,36,instancias/caso-random/RANDOM-18.txt
caso-random,RANDOM-19,19,38,instancias/caso-random/RANDOM-19.txt
caso-random,RANDOM-20,20,40,instancias/caso-random/RANDOM-20.txt
caso-random,RANDOM-21,21,42,instancias/caso-random/RANDOM-21.txt
caso-random,RANDOM-22,22,44,instancias/caso-random/RANDOM-22.txt
caso-random,RANDOM-23,23,46,instancias/caso-random/RANDOM-23.txt
caso-random,RANDOM-24,24,48,instancias/caso-random/RANDOM-24.txt
caso-random,RANDOM-25,25,50,instancias/caso-random/RANDOM-25.txt
caso-random,RANDOM-26,26,52,instancias/caso-random/RANDOM-26.txt
caso-random,RANDOM-27,27,54,instancias/caso-random/RANDOM-27.txt
caso-random,RANDOM-28,28,56,instancias/caso-random/RANDOM-28.txt
caso-random,RANDOM-29,29,58,instancias/caso-random/RANDOM-29.txt
caso-random,RANDOM-30,30,60,instancias/caso-random/RANDOM-30.txt
caso-random,RANDOM-31,31,62,instancias/caso-random/RANDOM-31.txt
caso-random,RANDOM-32,32,64,instancias/caso-random/RANDOM-32.txt
caso-random,RANDOM-33,33,66,instancias/caso-random/RANDOM-33.txt
caso-random,RANDOM-34,34,68,instancias/caso-random/RANDOM-34.txt
caso-random,RANDOM-35,35,70,instancias/caso-random/RANDOM-35.txt
caso-random,RANDOM-36,36,72,instancias/caso-random/RANDOM-36.txt
caso-random,RANDOM-37,37,74,instancias/caso-random/RANDOM-37.txt
caso-random,RANDOM-38,38,76,instancias/caso-random/RANDOM-38.txt
caso-random,RANDOM-39,39,78,instancias/caso-random/RANDOM-39.txt
caso-random,RANDOM-40,40,80,instancias/caso-random/RANDOM-40.txt
caso-random,RANDOM-41,41,82,instancias/caso-random/RANDOM-41.txt
caso-random,RANDOM-42,42,84,instancias/caso-random/RANDOM-42.txt
caso-random,RANDOM-43,43,86,instancias/caso-random/RANDOM-43.txt
caso-random,RANDOM-44,44,88,instancias/caso-random/RANDOM-44.txt
caso-random,RANDOM-45,45,90,instancias/caso-random/RANDOM-45.txt
caso-random,RANDOM-46,46,92,instancias/caso-random/RANDOM-46.txt
caso-random,RANDOM-47,47,94,instancias/caso-random/RANDOM-47.txt
caso-random,RANDOM-48,48,96,instancias/caso-random/RANDOM-48.txt
caso-random,RANDOM-49,49,98,instancias/caso-random/RANDOM-49.txt
caso-random,RANDOM-50,50,100,instancias/caso-random/RANDOM-50.txt
caso-random,RANDOM-51,51,102,instancias/caso-random/RANDOM-51.txt
caso-random,RANDOM-52,52,104,instancias/caso-random/RANDOM-52.txt
caso-random,RANDOM-53,53,106,instancias/caso-random/RANDOM-53.txt
caso-random,RANDOM-54,54,108,instancias/caso-random/RANDOM-54.txt
caso-random,RANDOM-55,55,110,instancias/caso-random/RANDOM-55.txt
caso-random,RANDOM-56,56,112,instancias/caso-random/RANDOM-56.txt
caso-random,RANDOM-57,57,114,instancias/caso-random/RANDOM-57.txt
caso-random,RANDOM-58,58,116,instancias/caso-random/RANDOM-58.txt
caso-random,RANDOM-59,59,118,instancias/caso-random/RANDOM-59.txt
caso-random,RANDOM-60,60,120,instancias/caso-random/RANDOM-60.txt
caso-random,RANDOM-61,61,122,instancias/caso-random/RANDOM-61.txt
caso-random,RANDOM-62,62,124,instancias/caso-random/RANDOM-62.txt
caso-random,RANDOM-63,63,126,instancias/caso-random/RANDOM-63.txt
caso-random,RANDOM-64,64,128,instancias/caso-random/RANDOM-64.txt
caso-random,RANDOM-65,65,130,instancias/caso-random/RANDOM-65.txt
caso-random,RANDOM-66,66,132,instancias/caso-random/RANDOM-66.txt
caso-random,RANDOM-67,67,134,instancias/caso-random/RANDOM-67.txt
caso-random,RANDOM-68,68,136,instancias/caso-random/RANDOM-68.txt
caso-random,RANDOM-69,69,138,instancias/caso-random/RANDOM-69.txt
caso-random,RANDOM-70,70,140,instancias/caso-random/RANDOM-70.txt
caso-random,RANDOM-71,71,142,instancias/caso-random/RANDOM-71.txt
caso-random,RANDOM-72,72,144,instancias/caso-random/RANDOM-72.txt
caso-random,RANDOM-73,73,146,instancias/caso-random/RANDOM-73.txt
caso-random,RANDOM-74,74,148,instancias/caso-random/RANDOM-74.txt
caso-random,RANDOM-75,75,150,instancias/caso-random/RANDOM-75.txt
