dataset,n,R,metodo,tiempo
mejor-caso-bt,1,40,BT-O,0.001566
mejor-caso-bt,2,40,BT-O,0.001706
mejor-caso-bt,3,40,BT-O,0.001534
mejor-caso-bt,4,40,BT-O,0.00161
mejor-caso-bt,5,40,BT-O,0.00163
mejor-caso-bt,6,40,BT-O,0.001782
mejor-caso-bt,7,40,BT-O,0.001799
mejor-caso-bt,8,40,BT-O,0.001986
mejor-caso-bt,9,40,BT-O,0.002027
mejor-caso-bt,10,40,BT-O,0.002311
mejor-caso-bt,11,40,BT-O,0.002464
mejor-caso-bt,12,40,BT-O,0.002775
mejor-caso-bt,13,40,BT-O,0.002851
mejor-caso-bt,14,40,BT-O,0.003232
mejor-caso-bt,15,40,BT-O,0.002963
mejor-caso-bt,16,40,BT-O,0.003356
mejor-caso-bt,17,40,BT-O,0.003565
mejor-caso-bt,18,40,BT-O,0.004736
mejor-caso-bt,19,40,BT-O,0.003957
mejor-caso-bt,20,40,BT-O,0.004068
mejor-caso-bt,21,40,BT-O,0.004372
mejor-caso-bt,22,40,BT-O,0.004407
mejor-caso-bt,23,40,BT-O,0.004745
mejor-caso-bt,24,40,BT-O,0.005088
mejor-caso-bt,25,40,BT-O,0.005251
mejor-caso-bt,26,40,BT-O,0.005525
mejor-caso-bt,27,40,BT-O,0.005974
mejor-caso-bt,28,40,BT-O,0.006245
mejor-caso-bt,29,40,BT-O,0.006578
mejor-caso-bt,30,40,BT-O,0.006991
mejor-caso-bt,31,40,BT-O,0.006968
mejor-caso-bt,32,40,BT-O,0.007522
mejor-caso-bt,33,40,BT-O,0.007738
mejor-caso-bt,34,40,BT-O,0.007919
mejor-caso-bt,35,40,BT-O,0.008095
mejor-caso-bt,36,40,BT-O,0.008675
mejor-caso-bt,37,40,BT-O,0.009093
mejor-caso-bt,38,40,BT-O,0.009211
mejor-caso-bt,39,40,BT-O,0.009641
mejor-caso-bt,40,40,BT-O,0.009905
